player,mlb_team,league,date,year,firstname,lastname,suffix
Jackie Robinson,"
Brooklyn Dodgers
","
NL
",1947-04-15T00:00:00Z,1947,Jackie,Robinson,NA
Larry Doby,"
Cleveland Indians
","
AL
",1947-07-05T00:00:00Z,1947,Larry,Doby,NA
Hank Thompson,"
St. Louis Browns
","AL
",1947-07-17T00:00:00Z,1947,Hank,Thompson,NA
Willard Brown,"
St. Louis Browns
","AL
",1947-07-19T00:00:00Z,1947,Willard,Brown,NA
Dan Bankhead,"
Brooklyn Dodgers
","NL
",1947-08-26T00:00:00Z,1947,Dan,Bankhead,NA
Roy Campanella,"
Brooklyn Dodgers
","NL
",1948-04-20T00:00:00Z,1948,Roy,Campanella,NA
Satchel Paige,"
Cleveland Indians
","AL
",1948-07-09T00:00:00Z,1948,Satchel,Paige,NA
Minnie Miñoso,"
Cleveland Indians
","AL
",1949-04-19T00:00:00Z,1949,Minnie,Miñoso,NA
Don Newcombe,"
Brooklyn Dodgers
","NL
",1949-05-20T00:00:00Z,1949,Don,Newcombe,NA
Monte Irvin,"
New York Giants
","NL
",1949-07-08T00:00:00Z,1949,Monte,Irvin,NA
Luke Easter,"
Cleveland Indians
","AL
",1949-08-11T00:00:00Z,1949,Luke,Easter,NA
Sam Jethroe,"
Boston Braves
","NL
",1950-04-18T00:00:00Z,1950,Sam,Jethroe,NA
Luis Márquez,"
Boston Braves
","NL
",1951-04-18T00:00:00Z,1951,Luis,Márquez,NA
Ray Noble,"
New York Giants
","NL
",1951-04-18T00:00:00Z,1951,Ray,Noble,NA
Artie Wilson,"
New York Giants
","NL
",1951-04-18T00:00:00Z,1951,Artie,Wilson,NA
Harry Simpson,"
Cleveland Indians
","AL
",1951-04-21T00:00:00Z,1951,Harry,Simpson,NA
Willie Mays,"
New York Giants
","NL
",1951-05-25T00:00:00Z,1951,Willie,Mays,NA
Sam Hairston,"
Chicago White Sox
","AL
",1951-07-21T00:00:00Z,1951,Sam,Hairston,NA
Bob Boyd,"
Chicago White Sox
","AL
",1951-09-08T00:00:00Z,1951,Bob,Boyd,NA
Sam Jones,"
Cleveland Indians
","AL
",1951-09-22T00:00:00Z,1951,Sam,Jones,NA
Héctor Rodríguez,Chicago White Sox,AL,1952-04-15T00:00:00Z,1952,Héctor,Rodríguez,NA
George Crowe,Boston Braves,NL,1952-04-17T00:00:00Z,1952,George,Crowe,NA
Buster Clarkson,Boston Braves,NL,1952-04-30T00:00:00Z,1952,Buster,Clarkson,NA
Quincy Trouppe,Cleveland Indians,AL,1952-04-30T00:00:00Z,1952,Quincy,Trouppe,NA
Dave Pope,Cleveland Indians,AL,0952-07-01T00:00:00Z,1952,Dave,Pope,NA
Sandy Amorós,Brooklyn Dodgers,NL,1952-08-22T00:00:00Z,1952,Sandy,Amorós,NA
Bob Trice,"
Philadelphia Athletics
","AL
",1953-09-13T00:00:00Z,1953,Bob,Trice,NA
Ernie Banks,"
Chicago Cubs
","NL
",1953-09-17T00:00:00Z,1953,Ernie,Banks,NA
Curt Roberts,"
Pittsburgh Pirates
","NL
",1954-04-13T00:00:00Z,1954,Curt,Roberts,NA
Tom Alston,"
St. Louis Cardinals
","NL
",1954-04-13T00:00:00Z,1954,Tom,Alston,NA
Nino Escalera,"
Cincinnati Reds
","NL
",1954-04-17T00:00:00Z,1954,Nino,Escalera,NA
Chuck Harmon,Cincinnati Reds,NL,1954-04-17T00:00:00Z,1954,Chuck,Harmon,NA
Carlos Paula,"
Washington Senators
","AL
",1954-09-06T00:00:00Z,1954,Carlos,Paula,NA
Elston Howard,"
New York Yankees
","AL
",1955-04-14T00:00:00Z,1955,Elston,Howard,NA
John Kennedy,"
Philadelphia Phillies
","NL
",1957-04-22T00:00:00Z,1957,John,Kennedy,NA
Ozzie Virgil Sr.,"
Detroit Tigers
","AL
",1958-06-06T00:00:00Z,1958,Ozzie,Virgil,Sr.
Pumpsie Green,"
Boston Red Sox
","AL
",1959-07-21T00:00:00Z,1959,Pumpsie,Green,NA
