firstname,lastname,mlb_team,nl_team,year
Jackie,Robinson,Brooklyn Dodgers,Kansas City Monarchs,1947
Larry,Doby,Cleveland Indians,Newark Eagles,1947
Hank,Thompson,St. Louis Browns,Kansas City Monarchs,1947
Willard,Brown,St. Louis Browns,Kansas City Monarchs,1947
Dan,Bankhead,Brooklyn Dodgers,Memphis Red Sox,1947
Roy,Campanella,Brooklyn Dodgers,Baltimore Elite Giants,1948
Satchel,Paige,Cleveland Indians,Kansas City Monarchs,1948
Minnie,Miñoso,Cleveland Indians,New York Cubans,1949
Don,Newcombe,Brooklyn Dodgers,Newark Eagles,1949
Monte,Irvin,New York Giants,Newark Eagles,1949
Luke,Easter,Cleveland Indians,Homestead Grays,1949
Sam,Jethroe,Boston Braves,Cleveland Buckeyes,1950
Luis,Márquez,Boston Braves,Homestead Grays,1951
Ray,Noble,New York Giants,New York Cubans,1951
Artie,Wilson,New York Giants,Birmingham Black Barons,1951
Harry,Simpson,Cleveland Indians,Philadelphia Stars,1951
Willie,Mays,New York Giants,Birmingham Black Barons,1951
Sam,Hairston,Chicago White Sox,Indianapolis Clowns,1951
Bob,Boyd,Chicago White Sox,Memphis Red Sox,1951
Sam,Jones,Cleveland Indians,Cleveland Buckeyes,1951
Héctor,Rodríguez,Chicago White Sox,New York Cubans,1952
George,Crowe,Boston Braves,New York Black Yankees,1952
Buster,Clarkson,Boston Braves,Philadelphia Stars,1952
Quincy,Trouppe,Cleveland Indians,Cleveland Buckeyes,1952
Joe,Black,Brooklyn Dodgers,Baltimore Elite Giants,1952
Dave,Pope,Cleveland Indians,Homestead Grays,1952
Sandy,Amorós,Brooklyn Dodgers,New York Cubans,1952
Jim,Gilliam,Brooklyn Dodgers,Baltimore Elite Giants,1953
Connie,Johnson,Chicago White Sox,Kansas City Monarchs,1953
Billy,Bruton,Milwaukee Braves,Philadelphia Stars,1953
Jim,Pendleton,Milwaukee Braves,Chicago American Giants,1953
Dave,Hoskins,Cleveland Indians,Louisville Buckeyes,1953
Al,Smith,Cleveland Indians,Cleveland Buckeyes,1953
Bob,Trice,Philadelphia Athletics,Homestead Grays,1953
Ernie,Banks,Chicago Cubs,Kansas City Monarchs,1953
Gene,Baker,Chicago Cubs,Kansas City Monarchs,1953
Hank,Aaron,Milwaukee Braves,Indianapolis Clowns,1954
Tom,Alston,St. Louis Cardinals,Greensboro Red Wings,1954
Curt,Roberts,Pittsburgh Pirates,Kansas City Monarchs,1954
Chuck,Harmon,Cincinnati Reds,Indianapolis Clowns,1954
José,Santiago,Cleveland Indians,New York Cubans,1954
Charlie,White,Milwaukee Braves,Philadelphia Stars,1954
Jay,Heard,Baltimore Orioles,New Orleans Eagles,1954
Bill,Greason,St. Louis Cardinals,Birmingham Black Barons,1954
Carlos,Paula,Washington Senators,Havana Cuban Giants,1954
Joe,Taylor,Philadelphia Athletics,Chicago American Giants,1954
Joe,Durham,Baltimore Orioles,Chicago American Giants,1954
Elston,Howard,New York Yankees,Kansas City Monarchs,1955
Bob,Thurman,Cincinnati Reds,Kansas City Monarchs,1955
Roberto,Vargas,Milwaukee Braves,Chicago American Giants,1955
Lino,Donoso,Pittsburgh Pirates,New York Cubans,1955
Milton,Smith,Cincinnati Reds,Philadelphia Stars,1955
Billy,Harrell,Cleveland Indians,Birmingham Black Barons,1955
Vibert,Clarke,Washington Senators,Memphis Red Sox,1955
Charlie,Neal,Brooklyn Dodgers,Atlanta Black Crackers,1956
Pat,Scantlebury,Cincinnati Reds,New York Cubans,1956
Charlie,Peete,St. Louis Cardinals,Indianapolis Clowns,1956
Joe,Caffie,Cleveland Indians,Cleveland Buckeyes,1956
Larry,Raines,Cleveland Indians,Chicago American Giants,1957
John,Kennedy,Philadelphia Phillies,Birmingham Black Barons,1957
Frank,Barnes,St. Louis Cardinals,Kansas City Monarchs,1957
Pancho,Herrera,Philadelphia Phillies,Kansas City Monarchs,1958
Bob,Wilson,Los Angeles Dodgers,Newark Eagles,1958
Hank,Mason,Philadelphia Phillies,Kansas City Monarchs,1958
George,Altman,Chicago Cubs,Kansas City Monarchs,1959
Marshall,Bridges,St. Louis Cardinals,Memphis Red Sox,1959
Jim,Proctor,Detroit Tigers,Indianapolis Clowns,1959
Maury,Wills,Los Angeles Dodgers,Raleigh Tigers,1959
Willie,McCovey,San Francisco Giants,Birmingham Black Barons,1959
Lou,Johnson,Chicago Cubs,Kansas City Monarchs,1960
Walt,Bond,Cleveland Indians,Kansas City Monarchs,1960
Hal,Jones,Cleveland Indians,Kansas City Monarchs,1961
Clarence,Coleman,Philadelphia Phillies,Indianapolis Clowns,1961
Bob,Prescott,Kansas City Athletics,Jacksonville Eagles,1961
John,Wyatt,Kansas City Athletics,Indianapolis Clowns,1961
Donn,Clendenon,Pittsburgh Pirates,Kansas City Monarchs,1961
J. C.,Hartman,Houston Colt 45’s,Kansas City Monarchs,1962
Charlie,Dees,Los Angeles Angels,Louisville Clippers,1963
Willie,Smith,Detroit Tigers,Birmingham Black Barons,1963
George,Smith,Detroit Tigers,Indianapolis Clowns,1963
John,Odom,Kansas City Athletics,Raleigh Tigers,1964
Paul,Casanova,Washington Senators,Indianapolis Clowns,1965
George,Spriggs,Pittsburgh Pirates,Detroit Stars,1965
Hal,King,Houston Astros,Indianapolis Clowns,1967
Ike,Brown,Detroit Tigers,Kansas City Monarchs,1969
Billy,Parker,California Angeles,Indianapolis Clowns,1971
Harry,Chappas,Chicago White Sox,Indianapolis Clowns,1978
