retroID,Last,First,Bat,Throw,Team,Pos,season
auldt101,Aulds,Tex,R,R,BOS,C,47
battm101,Batts,Matt,R,R,BOS,C,47
butlb103,Butland,Bill,R,R,BOS,P,47
combm101,Combs,Merl,L,R,BOS,3B,47
culbl101,Culberson,Leon,R,R,BOS,OF,47
dealc101,Deal,Cot,B,R,BOS,P,47
dents101,Dente,Sam,R,R,BOS,3B,47
dimad101,DiMaggio,Dom,R,R,BOS,OF,47
dobsj101,Dobson,Joe,R,R,BOS,P,47
doerb101,Doerr,Bobby,R,R,BOS,2B,47
dorif101,Dorish,Fritz,R,R,BOS,P,47
ferrd101,Ferriss,Dave,L,R,BOS,P,47
finet101,Fine,Tommy,B,R,BOS,P,47
galed101,Galehouse,Denny,R,R,BOS,P,47
goodb101,Goodman,Billy,L,R,BOS,OF,47
guttd101,Gutteridge,Don,R,R,BOS,2B,47
harrm101,Harris,Mickey,L,L,BOS,P,47
hayef101,Hayes,Frankie,R,R,BOS,C,47
hught102,Hughson,Tex,R,R,BOS,P,47
johne105,Johnson,Earl,L,L,BOS,P,47
jonej106,Jones,Jake,R,R,BOS,1B,47
klinb101,Klinger,Bob,R,R,BOS,P,47
mcbrt101,McBride,Tom,R,R,BOS,OF,47
mcgae101,McGah,Eddie,R,R,BOS,C,47
meles101,Mele,Sam,R,R,BOS,OF,47
mosew101,Moses,Wally,L,L,BOS,OF,47
murpj103,Murphy,Johnny,R,R,BOS,P,47
parnm101,Parnell,Mel,L,L,BOS,P,47
partr101,Partee,Roy,R,R,BOS,C,47
pelle101,Pellagrini,Eddie,R,R,BOS,3B,47
peskj101,Pesky,Johnny,L,R,BOS,SS,47
russr101,Russell,Rip,R,R,BOS,3B,47
shofs101,Shofner,Strick,L,R,BOS,3B,47
smite105,Smith,Eddie,B,L,BOS,P,47
stobc101,Stobbs,Chuck,L,L,BOS,P,47
tebbb101,Tebbetts,Birdie,R,R,BOS,C,47
wagnh102,Wagner,Hal,L,R,BOS,C,47
widma101,Widmar,Al,R,R,BOS,P,47
willt103,Williams,Ted,L,R,BOS,OF,47
yorkr101,York,Rudy,R,R,BOS,1B,47
zubeb101,Zuber,Bill,R,R,BOS,P,47
bankd101,Bankhead,Dan,R,R,BRO,P,47
bantj101,Banta,Jack,L,R,BRO,P,47
barnr103,Barney,Rex,R,R,BRO,P,47
behrh101,Behrman,Hank,R,R,BRO,P,47
bragb101,Bragan,Bobby,R,R,BRO,C,47
branr103,Branca,Ralph,R,R,BRO,P,47
browt103,Brown,Tommy,R,R,BRO,3B,47
caseh101,Casey,Hugh,R,R,BRO,P,47
chane102,Chandler,Ed,R,R,BRO,P,47
dockg101,Dockins,George,L,L,BRO,P,47
edwab101,Edwards,Bruce,R,R,BRO,C,47
furic101,Furillo,Carl,R,R,BRO,OF,47
