player,firstname,lastname,ht,wt,b,t,pos1,pos2,debut,final,birth,death
Spike,NA,Spike,,,,,LF,NA,1923,1923,,
Gabriel Aballí,Gabriel,Aballí,,,,,P,NA,1930,1930,"1900								 (Limonar, Cuba)",
Jim Abbott,Jim,Abbott,,,,R,1B,NA,1906,1914,12/15/1884 (birthplace unknown),
Eufemio Abreu,Eufemio,Abreu,"5'6""",,R,R,C,NA,1919,1925,"1901								 (Matanzas, Cuba)",
José Abreu,José,Abreu,"5'10""",,,,2B,NA,1934,1935,"1910								 (Havana, Cuba)",
Juan Abreu,Juan,Abreu,"5'6""",,,,RF,NA,1930,1937,"1904								 (Cienfuegos, Cuba)",
Acea,NA,Acea,,,,,RF,NA,1910,1915,,
Adams,NA,Adams,,,,,SS,NA,1935,1935,,
Emery Adams,Emery,Adams,"5'11""",171,R,R,P,NA,1932,1947,"10/10/1911								 (Collierville, TN)",
Keenan Addison,Keenan,Addison,,,,,CF,NA,1911,1911,,
Tom Addison,Tom,Addison,,,,,SS,NA,1910,1911,,
Charley Akers,Charley,Akers,,,,R,-,NA,1921,1921,"1903								 (Moline, IL)",
Johnny Albertson,Johnny,Albertson,,,,,3B,NA,1936,1937,,
Thomas Albright,Thomas,Albright,"5'10""",225,R,R,P,NA,1929,1936,"12/23/1909								 (Crockett, TX)","6/1986								 (Denver, CO)"
Alex Albritton,Alex,Albritton,,,L,R,P,NA,1918,1925,"2/12/1892								 (Live Oak, FL)","2/3/1940								 (Philadelphia, PA)"
Alexander,NA,Alexander,,,,,SS,NA,1919,1919,,
Buck Alexander,Buck,Alexander,,,R,R,P,NA,1923,1926,,
Chuffie Alexander,Chuffie,Alexander,"5'10""",171,,R,LF,NA,1927,1932,"3/15/1902								 (Bastrop, TX)","9/22/1989								 (Austin, TX)"
Hub Alexander,Hub,Alexander,,,,,LF,NA,1911,1914,,
Koke Alexander,Koke,Alexander,,,,R,LF,NA,1918,1921,"2/1/1888								 (Winston-Salem, NC)",
Ángel Alfonso,Ángel,Alfonso,"5'6""",,R,R,2B,NA,1924,1930,"1901								 (Havana, Cuba)",
Allen,NA,Allen,,,,,P,NA,1910,1910,,
Cliney Allen,Cliney,Allen,,,,,P,NA,1932,1932,1910 (birthplace unknown),
David Allen,David,Allen,,,,,1B,NA,1887,1887,"2/15/1858								 (Madison, VA)","10/21/1931								 (Pittsburgh, PA)"
Half Pint Allen,Half,Allen,,128,,L,P,NA,1932,1934,,
Hap Allen,Hap,Allen,"5'8""",148,,R,3B,NA,1921,1922,"8/23/1900								 (Pittsburgh, PA)","7/20/1988								 (Pittsburgh, PA)"
Major Allen,Major,Allen,"5'9""",193,,R,2B,NA,1919,1922,"4/13/1896								 (New Haven, CT)","3/30/1947								 (New York, NY)"
Newt Allen,Newt,Allen,"5'8""",160,R,R,2B,NA,1923,1947,"5/19/1901								 (Austin, TX)","6/9/1988								 (Cincinnati, OH)"
Todd Allen,Todd,Allen,"5'9""",155,R,R,3B,NA,1908,1925,"1/14/1885								 (Wheatland, IN)","1/17/1971								 (Indianapolis, IN)"
Toussaint Allen,Toussaint,Allen,"5'11""",162,R,L,1B,NA,1919,1928,"6/7/1896								 (Atlanta, GA)","3/3/1960								 (Philadelphia, PA)"
Moody Allison,Moody,Allison,,,,,2B,NA,1925,1925,,
Rafael Almeida,Rafael,Almeida,"5'9""",164,R,R,3B,NA,1904,1907,"7/30/1885								 (Havana, Cuba)","3/19/1968								 (Havana, Cuba)"
Rogelio Alonso,Rogelio,Alonso,"5'6""",,R,R,LF,NA,1927,1930,"1906								 (Havana, Cuba)",
Avelino Álvarez,Avelino,Álvarez,"5'4""",,,,LF,NA,1936,1936,"1912								 (Havana, Cuba)",
Raúl Álvarez,Raúl,Álvarez,,,,,P,NA,1924,1932,"1902								 (Havana, Cuba)",
Bill Anderson,Bill,Anderson,,,,,RF,NA,1930,1930,,
Bobby Anderson,Bobby,Anderson,"5'8""",164,,R,2B,NA,1920,1920,"2/25/1899								 (Chicago, IL)","1/24/1975								 (Chicago, IL)"
Bubbles Anderson,Bubbles,Anderson,"5'8""",151,R,R,2B,NA,1922,1925,"11/4/1904								 (Denver, CO)","3/14/1943								 (Denver, CO)"
C. Anderson,C.,Anderson,,,,,RF,NA,1920,1920,,
Lewis Anderson,Lewis,Anderson,,,R,R,C,NA,1930,1933,,
Robert Anderson,Robert,Anderson,,,,,P,NA,1908,1908,,
Andrews,NA,Andrews,,,,,RF,NA,1932,1932,,
Jabbo Andrews,Jabbo,Andrews,"6'4""",198,L,L,RF,LF,1930,1942,"12/23/1907								 (Burnsville, AL)",7/1964 (death place unknown)
Pop Andrews,Pop,Andrews,,,,L,P,NA,1905,1914,,
Guillermo Angulo,Guillermo,Angulo,"5'6""",133,,,1B,NA,1929,1929,"6/25/1902								 (Carolina, Puerto Rico)","8/22/1979								 (Carolina, Puerto Rico)"
Pedro Arango,Pedro,Arango,"5'8""",,,R,3B,1B,1925,1939,"1902								 (Havana, Cuba)",
