player,debut,last_game,pos,teams,nickname,lastname,firstname
Hank Aaron,1952,1952,Shortstop,Indianapolis Clowns,NA,Aaron,Hank
Robert Abernathy,1945,1948,Outfielder,"
Kansas City Monarchs, Indianapolis–Cincinnati Clowns, New York Cubans
",NA,Abernathy,Robert
Eufemio Abreu,1919,1925,Catcher,"
Cuban Stars (West), Indianapolis ABCs
",NA,Abreu,Eufemio
José Acosta,1912,1930,Starting pitcher,Cuban League,NA,Acosta,José
Ben Adams,1952,1959,Pitcher,"
Indianapolis Clowns, Memphis Red Sox, Kansas City Monarchs
",NA,Adams,Ben
Emery Adams,1932,1947,Pitcher,"
Memphis Red Sox, New York Black Yankees, Baltimore Elite Giants
",NA,Adams,Emery
Johnny Albertson,1936,1937,Infielder,"
Brooklyn Royal Giants, New York Black Yankees
",NA,Albertson,Johnny
Thomas Albright,1929,1936,Pitcher,"
Bacharach Giants, New York Cubans
",NA,Albright,Thomas
Alex Albritton,1918,1925,Pitcher,"
Bacharach Giants, Hilldale Club, Baltimore Black Sox, Washington/Wilmington Potomacs
",NA,Albritton,Alex
Buck Alexander,1918,1924,Pitcher,"
San Antonio Black Bronchos, Detroit Stars
",NA,Alexander,Buck
Chuffie Alexander,1925,1932,Outfielder,"
Birmingham Black Barons, Monroe Monarchs
",NA,Alexander,Chuffie
Koke Alexander,1918,1921,Outfielder,"
Dayton Marcos, Columbus Buckeyes, Chicago Giants
",NA,Alexander,Koke
Spencer Alexander,1940,1941,Outfielder,Newark Eagles ,NA,Alexander,Spencer
Ted Alexander,1938,1949,Pitcher,"
Indianapolis ABCs, Chicago American Giants, Kansas City Monarchs, Homestead Grays
",NA,Alexander,Ted
Ángel Alfonso,1924,1930,Infielder,"
Cuban Stars (West), Cuban Stars (East)
",NA,Alfonso,Ángel
Alex Allen,1943,1943,Outfielder,New York Black Yankees,NA,Allen,Alex
Clifford Allen,1937,1938,Pitcher,"
Homestead Grays, Memphis Red Sox
",NA,Allen,Clifford
Cliney Allen,1932,1932,Pitcher,"
Hilldale Club, Bacharach Giants
",NA,Allen,Cliney
Herbert  Allen,1908,1919,Third baseman,"
Indianapolis ABCs, French Lick Plutos, New York Lincoln Giants
","""Todd""",Allen,Herbert
Hosea Allen,1941,1947,Pitcher,"
Jacksonville Red Caps, Cleveland Buckeyes, Indianapolis–Cincinnati Clowns
",NA,Allen,Hosea
Lamar  Allen,1940,1940,Outfielder,Birmingham Black Barons,"""Buddy""",Allen,Lamar
Major Allen,1919,1922,Second baseman,"
Brooklyn Royal Giants, Lincoln Giants, Baltimore Black Sox
",NA,Allen,Major
Melvin  Allen,1932,1934,Pitcher,Baltimore Black Sox ,"""Half Pint""",Allen,Melvin
Newt Allen,1922,1947,"
Second baseman / Manager
","
All Nations, St. Louis Stars, Detroit Wolves, Homestead Grays, Kansas City Monarchs, Indianapolis Clowns
",NA,Allen,Newt
Samuel Allen,1957,1959,Outfielder,Kansas City Monarchs,NA,Allen,Samuel
Toussaint Allen,1914,1928,First baseman,"Havana Red Sox, Hilldale Club, Wilmington Potomacs, Newark Stars, Philadelphia Tigers
",NA,Allen,Toussaint
Moody Allison,1925,1925,Second baseman,Indianapolis ABCs,NA,Allison,Moody
Rafael Almeida,1904,1925,Third baseman,Cuban League,NA,Almeida,Rafael
Rogelio Alonso,1927,1930,Outfielder,Cuban Stars (West),NA,Alonso,Rogelio
George Altman,1955,1955,Outfielder,Kansas City Monarchs,NA,Altman,George
Raúl Álvarez,1924,1932,Pitcher,"
Cuban Stars (West), Cuban Stars (East)
",NA,Álvarez,Raúl
Sandy Amorós,1950,1950,Outfielder,New York Cubans,NA,Amorós,Sandy
Bill Anderson,1930,1930,Right fielder,Nashville Elite Giants,NA,Anderson,Bill
Bill A. Anderson,1941,1947,Pitcher,"
New York Cubans, Homestead Grays, Newark Eagles
",NA,Anderson,Bill
Bobby Anderson,1920,1920,Second baseman,Chicago Giants,NA,Anderson,Bobby
Bubbles Anderson,1920,1935,Second baseman,"Denver White Elephants, Kansas City Monarchs, Washington Potomacs, Birmingham Black Barons, Indianapolis ABCs
",NA,Anderson,Bubbles
Fast Ball Anderson,1938,1938,Pitcher,Indianapolis ABCs,NA,Anderson,Fast Ball
Lewis Anderson,1930,1933,Catcher,"
Chicago American Giants, Baltimore Black Sox
",NA,Anderson,Lewis
Orinthal Anderson,1947,1947,Outfielder,Birmingham Black Barons,NA,Anderson,Orinthal
Roland Anderson,1945,1945,Pitcher,Homestead Grays,NA,Anderson,Roland
Curley Andrews,1943,1944,Infielder,"
Philadelphia Stars, New York Black Yankees
",NA,Andrews,Curley
Jabbo Andrews,1930,1943,Outfielder,"
Birmingham Black Barons, Memphis Red Sox, Chicago American Giants, Indianapolis ABCs, Homestead Grays, Pittsburgh Crawfords, Columbus Blue Birds, New York Cubans, Washington Black Senators, Jacksonville Red Caps, Philadelphia Stars
",NA,Andrews,Jabbo
Red Applegate,1947,1947,Pitcher,Newark Eagles,NA,Applegate,Red
Pedro Arango,1925,1939,Third baseman,"
Cuban Stars (West), Cuban Stars (East), New York Cubans
",NA,Arango,Pedro
Luke Archer,1919,1922,Pitcher,"
Lincoln Giants, Baltimore Black Sox
",NA,Archer,Luke
Hipolito Arenas,1932,1932,Outfielder,Atlanta Black Crackers,NA,Arenas,Hipolito
Mario Arencibia,1948,1948,Outfielder,New York Cubans,NA,Arencibia,Mario
Mario Ariosa,1947,1947,Outfielder,New York Cubans,NA,Ariosa,Mario
Felipe Armas,1925,1925,Pitcher,Cuban Stars (West),NA,Armas,Felipe
Juan Armenteros,1953,1955,Catcher,Kansas City Monarchs,NA,Armenteros,Juan
Buddy Armour,1938,1947,Outfielder,"
Indianapolis ABCs, St. Louis Stars, Cleveland Buckeyes, Chicago American Giants
",NA,Armour,Buddy
Jimmie Armstead,1938,1949,"
Pitcher / Outfielder
","
Indianapolis ABCs, St. Louis Stars, Baltimore Elite Giants, Philadelphia Stars
",NA,Armstead,Jimmie
Mule Armstrong,1909,1913,Catcher,"
Buxton Wonders, St. Paul Colored Gophers, Twin City Gophers, French Lick Plutos, Chicago Giants
",NA,Armstrong,Mule
Paul Arnold,1926,1936,Outfielder,"
Hilldale Club, Brooklyn Royal Giants, Lincoln Giants, Newark Browns, Newark Dodgers, New York Cubans
",NA,Arnold,Paul
Joaquín Arumís,1920,1920,Second baseman,Kansas City Monarchs,NA,Arumís,Joaquín
Orlando Asbury,1920,1920,Pitcher,Lincoln Giants,NA,Asbury,Orlando
Carlos Ascanio,1946,1946,First baseman,New York Black Yankees,NA,Ascanio,Carlos
Rudolph Ash,1920,1926,Outfielder,"
Chicago American Giants, Hilldale Club, Newark Stars
",NA,Ash,Rudolph
Earl Ashby,1945,1948,Catcher,"
Cleveland Buckeyes, Homestead Grays, Newark Eagles
",NA,Ashby,Earl
Abe Atkins,1923,1923,Third baseman,Toledo Tigers,NA,Atkins,Abe
Joe Atkins,1946,1947,Third baseman,"
Pittsburgh Crawfords, Cleveland Buckeyes
",NA,Atkins,Joe
Cornelius Augustus,1927,1937,Pitcher,"
Memphis Red Sox, St. Louis Stars
",NA,Augustus,Cornelius
Frankie Austin,1944,1948,Shortstop,Philadelphia Stars,NA,Austin,Frankie
